dataset,label,nominal_injection_ratio,window_id,cryptocurrency,original_tweet_count,synthetic_count,actual_injection_ratio,cap_hit
injection_0.10,Injection 10%,0.1,BTC_20221130T092500Z,BTC,175,18,0.10285714285714286,False
injection_0.10,Injection 10%,0.1,BTC_20221130T093000Z,BTC,181,19,0.10497237569060773,False
injection_0.10,Injection 10%,0.1,BTC_20221130T100000Z,BTC,247,25,0.10121457489878542,False
injection_0.10,Injection 10%,0.1,BTC_20221130T110000Z,BTC,274,28,0.10218978102189781,False
injection_0.10,Injection 10%,0.1,BTC_20221130T110500Z,BTC,179,18,0.1005586592178771,False
injection_0.10,Injection 10%,0.1,BTC_20221130T112000Z,BTC,189,19,0.10052910052910052,False
injection_0.10,Injection 10%,0.1,BTC_20221130T113000Z,BTC,188,19,0.10106382978723404,False
injection_0.10,Injection 10%,0.1,BTC_20221130T114000Z,BTC,202,21,0.10396039603960396,False
injection_0.10,Injection 10%,0.1,ETH_20221130T092500Z,ETH,77,8,0.1038961038961039,False
injection_0.10,Injection 10%,0.1,ETH_20221130T093000Z,ETH,83,9,0.10843373493975904,False
injection_0.10,Injection 10%,0.1,ETH_20221130T100000Z,ETH,104,11,0.10576923076923077,False
injection_0.10,Injection 10%,0.1,ETH_20221130T104000Z,ETH,75,8,0.10666666666666667,False
injection_0.10,Injection 10%,0.1,ETH_20221130T110000Z,ETH,118,12,0.1016949152542373,False
injection_0.10,Injection 10%,0.1,ETH_20221130T112000Z,ETH,87,9,0.10344827586206896,False
injection_0.10,Injection 10%,0.1,ETH_20221130T113000Z,ETH,82,9,0.10975609756097561,False
injection_0.10,Injection 10%,0.1,ETH_20221130T114500Z,ETH,85,9,0.10588235294117647,False
injection_0.20,Injection 20%,0.2,BTC_20221130T092500Z,BTC,175,35,0.2,False
injection_0.20,Injection 20%,0.2,BTC_20221130T093000Z,BTC,181,37,0.20441988950276244,False
injection_0.20,Injection 20%,0.2,BTC_20221130T100000Z,BTC,247,50,0.20242914979757085,False
injection_0.20,Injection 20%,0.2,BTC_20221130T110000Z,BTC,274,55,0.20072992700729927,False
injection_0.20,Injection 20%,0.2,BTC_20221130T110500Z,BTC,179,36,0.2011173184357542,False
injection_0.20,Injection 20%,0.2,BTC_20221130T112000Z,BTC,189,38,0.20105820105820105,False
injection_0.20,Injection 20%,0.2,BTC_20221130T113000Z,BTC,188,38,0.20212765957446807,False
injection_0.20,Injection 20%,0.2,BTC_20221130T114000Z,BTC,202,41,0.20297029702970298,False
injection_0.20,Injection 20%,0.2,ETH_20221130T092500Z,ETH,77,16,0.2077922077922078,False
injection_0.20,Injection 20%,0.2,ETH_20221130T093000Z,ETH,83,17,0.20481927710843373,False
injection_0.20,Injection 20%,0.2,ETH_20221130T100000Z,ETH,104,21,0.20192307692307693,False
injection_0.20,Injection 20%,0.2,ETH_20221130T104000Z,ETH,75,15,0.2,False
injection_0.20,Injection 20%,0.2,ETH_20221130T110000Z,ETH,118,24,0.2033898305084746,False
injection_0.20,Injection 20%,0.2,ETH_20221130T112000Z,ETH,87,18,0.20689655172413793,False
injection_0.20,Injection 20%,0.2,ETH_20221130T113000Z,ETH,82,17,0.2073170731707317,False
injection_0.20,Injection 20%,0.2,ETH_20221130T114500Z,ETH,85,17,0.2,False
injection_0.35,Injection 35%,0.35,BTC_20221130T092500Z,BTC,175,62,0.35428571428571426,False
injection_0.35,Injection 35%,0.35,BTC_20221130T093000Z,BTC,181,64,0.35359116022099446,False
injection_0.35,Injection 35%,0.35,BTC_20221130T100000Z,BTC,247,75,0.30364372469635625,True
injection_0.35,Injection 35%,0.35,BTC_20221130T110000Z,BTC,274,75,0.2737226277372263,True
injection_0.35,Injection 35%,0.35,BTC_20221130T110500Z,BTC,179,63,0.35195530726256985,False
injection_0.35,Injection 35%,0.35,BTC_20221130T112000Z,BTC,189,67,0.3544973544973545,False
injection_0.35,Injection 35%,0.35,BTC_20221130T113000Z,BTC,188,66,0.35106382978723405,False
injection_0.35,Injection 35%,0.35,BTC_20221130T114000Z,BTC,202,71,0.35148514851485146,False
injection_0.35,Injection 35%,0.35,ETH_20221130T092500Z,ETH,77,27,0.35064935064935066,False
injection_0.35,Injection 35%,0.35,ETH_20221130T093000Z,ETH,83,30,0.3614457831325301,False
injection_0.35,Injection 35%,0.35,ETH_20221130T100000Z,ETH,104,37,0.3557692307692308,False
injection_0.35,Injection 35%,0.35,ETH_20221130T104000Z,ETH,75,27,0.36,False
injection_0.35,Injection 35%,0.35,ETH_20221130T110000Z,ETH,118,42,0.3559322033898305,False
injection_0.35,Injection 35%,0.35,ETH_20221130T112000Z,ETH,87,31,0.3563218390804598,False
injection_0.35,Injection 35%,0.35,ETH_20221130T113000Z,ETH,82,29,0.35365853658536583,False
injection_0.35,Injection 35%,0.35,ETH_20221130T114500Z,ETH,85,30,0.35294117647058826,False
