prompt_name,dataset,action_taken,count,total,percent
current_aggregate,baseline,BUY,8,64,12.5
current_aggregate,baseline,SELL,0,64,0.0
current_aggregate,baseline,HOLD,56,64,87.5
current_aggregate,sentiment_mutation,BUY,4,64,6.25
current_aggregate,sentiment_mutation,SELL,0,64,0.0
current_aggregate,sentiment_mutation,HOLD,60,64,93.75
current_aggregate,temporal_jitter,BUY,5,72,6.94
current_aggregate,temporal_jitter,SELL,0,72,0.0
current_aggregate,temporal_jitter,HOLD,67,72,93.06
current_aggregate,adversarial,BUY,6,64,9.38
current_aggregate,adversarial,SELL,0,64,0.0
current_aggregate,adversarial,HOLD,58,64,90.62
raw_scores,baseline,BUY,1,64,1.56
raw_scores,baseline,SELL,0,64,0.0
raw_scores,baseline,HOLD,63,64,98.44
raw_scores,sentiment_mutation,BUY,0,64,0.0
raw_scores,sentiment_mutation,SELL,0,64,0.0
raw_scores,sentiment_mutation,HOLD,64,64,100.0
raw_scores,temporal_jitter,BUY,1,72,1.39
raw_scores,temporal_jitter,SELL,0,72,0.0
raw_scores,temporal_jitter,HOLD,71,72,98.61
raw_scores,adversarial,BUY,2,64,3.12
raw_scores,adversarial,SELL,0,64,0.0
raw_scores,adversarial,HOLD,62,64,96.88
rule_calibrated,baseline,BUY,0,64,0.0
rule_calibrated,baseline,SELL,0,64,0.0
rule_calibrated,baseline,HOLD,64,64,100.0
rule_calibrated,sentiment_mutation,BUY,0,64,0.0
rule_calibrated,sentiment_mutation,SELL,0,64,0.0
rule_calibrated,sentiment_mutation,HOLD,64,64,100.0
rule_calibrated,temporal_jitter,BUY,0,72,0.0
rule_calibrated,temporal_jitter,SELL,0,72,0.0
rule_calibrated,temporal_jitter,HOLD,72,72,100.0
rule_calibrated,adversarial,BUY,0,64,0.0
rule_calibrated,adversarial,SELL,0,64,0.0
rule_calibrated,adversarial,HOLD,64,64,100.0
fewshot_balanced,baseline,BUY,64,64,100.0
fewshot_balanced,baseline,SELL,0,64,0.0
fewshot_balanced,baseline,HOLD,0,64,0.0
fewshot_balanced,sentiment_mutation,BUY,64,64,100.0
fewshot_balanced,sentiment_mutation,SELL,0,64,0.0
fewshot_balanced,sentiment_mutation,HOLD,0,64,0.0
fewshot_balanced,temporal_jitter,BUY,71,72,98.61
fewshot_balanced,temporal_jitter,SELL,0,72,0.0
fewshot_balanced,temporal_jitter,HOLD,1,72,1.39
fewshot_balanced,adversarial,BUY,56,64,87.5
fewshot_balanced,adversarial,SELL,0,64,0.0
fewshot_balanced,adversarial,HOLD,8,64,12.5
